,City,Country,Date,Latitude,Longitude,Max temperature,Humidity,Cloudiness,Wind Speed
0,Serang,ID,1638054421,-6.1149,106.1502,74.97,87,100,7.43
1,Atuona,PF,1638054408,-9.8,-139.0333,78.84,72,37,19.89
2,Hermanus,ZA,1638054323,-34.4187,19.2345,64.4,81,31,17.36
3,Hobart,AU,1638054384,-42.8794,147.3294,62.46,55,20,9.22
4,Port Keats,AU,1638054422,-14.25,129.55,86.05,53,100,3.71
5,George Town,MY,1638054391,5.4112,100.3354,76.93,94,20,0.0
6,Nikolskoye,RU,1638054328,59.7035,30.7861,28.29,93,100,12.97
7,Great Yarmouth,GB,1638054423,52.6083,1.7305,43.05,87,98,29.84
8,East London,ZA,1638054402,-33.0153,27.9116,64.51,94,36,4.81
9,Airai,TL,1638054424,-8.9266,125.4092,66.13,81,99,0.74
10,Bengkulu,ID,1638054424,-3.8004,102.2655,76.15,88,100,4.07
11,Yellowknife,CA,1638054362,62.456,-114.3525,-6.61,93,25,5.37
12,Barrow,US,1638054346,71.2906,-156.7887,-12.98,70,20,0.0
13,Lebu,CL,1638054425,-37.6167,-73.65,54.5,77,1,17.94
14,Alta Floresta,BR,1638054427,-9.8756,-56.0861,72.99,95,79,3.36
15,Moerai,PF,1638054427,-22.4333,-151.3333,77.99,79,99,14.41
16,Hay River,CA,1638054428,60.8156,-115.7999,-1.55,92,38,2.42
17,Mataura,NZ,1638054325,-46.1927,168.8643,63.63,38,47,0.4
18,Provideniya,RU,1638054397,64.3833,-173.3,-4.95,84,10,5.68
19,Rikitea,PF,1638054331,-23.1203,-134.9692,76.32,77,11,15.14
20,Kapaa,US,1638054329,22.0752,-159.319,82.38,57,40,14.97
21,Yining,CN,1638054429,29.0361,114.5636,44.85,85,8,0.94
22,Jamestown,US,1638054308,42.097,-79.2353,31.59,86,90,6.91
23,Qaanaaq,GL,1638054336,77.484,-69.3632,1.0,97,100,1.25
24,Oodweyne,SO,1638054430,9.4092,45.064,71.38,47,96,9.78
25,Puerto Ayora,EC,1638054334,-0.7393,-90.3518,70.75,76,80,10.6
26,Punta Arenas,CL,1638054348,-53.15,-70.9167,51.91,62,75,6.91
27,Ayagoz,KZ,1638054350,47.9714,80.4392,0.01,79,2,4.74
28,Alice Springs,AU,1638054431,-23.7,133.8833,71.15,30,1,10.36
29,Emilio Carranza,MX,1638054432,19.9711,-96.6114,71.06,83,66,3.15
30,Shingū,JP,1638054369,33.7333,135.9833,47.39,69,1,4.63
31,Vaini,TO,1638054332,-21.2,-175.2,84.36,84,75,11.5
32,Weihe,CN,1638054433,32.9952,105.3247,41.68,95,100,2.13
33,Portland,US,1638053712,45.5234,-122.6762,59.41,94,90,8.05
34,Flinders,AU,1638054434,-34.5833,150.8552,60.64,81,100,11.54
35,Coxim,BR,1638054434,-18.5067,-54.76,84.16,67,100,4.34
36,Labuhan,ID,1638054435,-6.8844,112.2051,78.06,84,100,10.16
37,Rawson,AR,1638054435,-43.3002,-65.1023,59.72,66,5,13.27
38,Port Pirie,AU,1638054436,-33.1833,138.0167,66.29,36,55,3.87
39,Albany,US,1638054343,42.6001,-73.9662,27.21,65,8,10.98
40,Fort Nelson,CA,1638054436,58.8053,-122.7002,16.92,95,95,2.35
41,Meulaboh,ID,1638054437,4.1363,96.1285,76.05,87,85,5.68
42,Praia da Vitória,PT,1638054392,38.7333,-27.0667,60.46,67,87,9.46
43,Saint Paul Harbor,US,1638054351,57.79,-152.4072,17.11,57,40,12.66
44,Alyangula,AU,1638054363,-13.8483,136.4192,86.02,54,94,6.64
45,Ushuaia,AR,1638054160,-54.8,-68.3,48.87,54,100,4.99
46,Novovorontsovka,UA,1638054438,47.5004,33.9175,46.11,95,19,9.08
47,‘Āhuimanu,US,1638054439,21.4447,-157.8378,82.11,66,75,9.22
48,Makurdi,NG,1638054439,7.7411,8.5121,77.95,36,70,3.4
49,Talnakh,RU,1638054440,69.4865,88.3972,0.0,96,100,9.24
50,San Patricio,US,1638054440,28.017,-97.5169,55.26,74,100,7.52
51,Bluff,NZ,1638054359,-46.6,168.3333,52.7,62,1,4.81
52,Mackay,AU,1638054306,-21.15,149.2,80.71,74,1,5.06
53,Avarua,CK,1638054441,-21.2078,-159.775,80.65,83,75,11.5
54,Saint-Philippe,RE,1638054352,-21.3585,55.7679,76.59,84,59,7.05
55,Hong Kong,HK,1638054335,22.2855,114.1577,67.98,56,84,6.17
56,Black River,JM,1638054442,18.0264,-77.8487,78.75,73,85,3.06
57,Hamilton,US,1638054253,39.1834,-84.5333,45.45,53,20,0.0
58,At-Bashi,KG,1638054443,41.1702,75.8106,9.7,55,0,5.23
59,Padang,ID,1638054444,-0.9492,100.3543,75.25,76,100,3.04
60,Busselton,AU,1638054330,-33.65,115.3333,71.82,52,4,4.7
61,Qasigiannguit,GL,1638054445,68.8193,-51.1922,18.07,86,100,6.22
62,Butaritari,KI,1638054324,3.0707,172.7902,82.15,73,27,19.42
63,Castro,BR,1638054330,-24.7911,-50.0119,68.79,64,15,1.19
64,Cape Canaveral,US,1638054197,28.4058,-80.6048,64.47,78,1,6.91
65,Jumla,NP,1638054446,29.2747,82.1838,37.18,47,0,4.47
66,Longyearbyen,SJ,1638054446,78.2186,15.6401,13.84,67,20,23.02
67,Hofn,IS,1638054447,64.2539,-15.2082,36.25,66,95,17.16
68,Srednekolymsk,RU,1638054447,67.45,153.6833,-38.24,100,31,1.21
69,Faya,SA,1638054346,18.3851,42.4509,54.12,50,0,5.48
70,Kaoma,ZM,1638054448,-14.7833,24.8,64.78,83,70,5.23
71,Harper,LR,1638054448,4.375,-7.7169,79.5,85,61,9.78
72,Marlton,US,1638054305,39.8912,-74.9218,38.89,44,1,4.61
73,Carnarvon,AU,1638054320,-24.8667,113.6333,82.47,26,0,10.36
74,Birao,CF,1638054402,10.2849,22.7882,71.62,20,44,5.84
75,Galle,LK,1638054221,6.0367,80.217,76.75,88,100,4.68
76,Ejea de los Caballeros,ES,1638054450,42.1263,-1.1372,40.19,90,95,22.08
77,Vao,NC,1638054362,-22.6667,167.4833,73.83,90,100,24.0
78,Xiaoshan,CN,1638054450,30.1675,120.2588,51.66,87,0,2.24
79,Le Port,RE,1638054451,-20.9373,55.2919,77.0,84,43,6.11
80,Pochutla,MX,1638054451,15.7432,-96.4661,84.02,58,7,5.68
81,Sitka,US,1638054312,57.0531,-135.33,35.49,87,90,5.75
82,Dubbo,AU,1638054436,-32.25,148.6167,66.33,63,90,19.57
83,Zandvoort,NL,1638054453,52.3749,4.5341,44.55,93,75,2.3
84,Piripiri,BR,1638054453,-4.2733,-41.7769,80.46,66,80,6.02
85,Port Alfred,ZA,1638054338,-33.5906,26.891,64.71,77,36,8.81
86,Saint George,US,1638054356,37.1041,-113.5841,73.87,15,1,0.0
87,Ulladulla,AU,1638054456,-35.35,150.4667,58.84,81,99,9.66
88,Kouroussa,GN,1638054457,10.65,-9.8833,77.16,36,24,1.52
89,Charters Towers,AU,1638054457,-20.1,146.2667,84.58,55,0,11.14
90,Nhulunbuy,AU,1638054458,-12.2333,136.7667,88.41,55,36,5.75
91,Ol'ga,RU,1638054458,43.7444,135.2892,25.77,57,0,5.97
92,Batangafo,CF,1638054307,7.3008,18.2833,72.27,28,64,2.46
93,Cavalcante,BR,1638054459,-13.7975,-47.4583,69.55,90,30,3.6
94,Itarema,BR,1638054459,-2.9248,-39.9167,80.62,77,82,14.32
95,San Quintín,MX,1638054460,30.4833,-115.95,69.75,44,0,9.24
96,Inhambane,MZ,1638054460,-23.865,35.3833,68.29,69,49,9.17
97,Progreso,MX,1638054461,21.2833,-89.6667,80.71,73,48,13.02
98,Port Lincoln,AU,1638054414,-34.7333,135.8667,62.31,70,0,12.03
99,Ponta do Sol,PT,1638054462,32.6667,-17.1,63.23,75,26,5.37
100,Umluj,SA,1638054462,25.0213,37.2685,79.02,53,0,8.95
101,Dickson,US,1638054463,36.077,-87.3878,53.2,35,1,13.8
102,Port Elizabeth,ZA,1638054345,-33.918,25.5701,62.22,73,37,6.89
103,Bredasdorp,ZA,1638054463,-34.5322,20.0403,65.03,69,60,8.39
104,Yangi Marg`ilon,UZ,1638054464,40.4272,71.7189,32.72,80,6,4.61
105,Cape Town,ZA,1638054140,-33.9258,18.4232,63.1,92,85,16.53
106,Rentina,GR,1638054465,40.6574,23.614,54.88,84,100,1.86
107,Cervo,ES,1638054465,43.6702,-7.4101,49.42,65,89,20.45
108,Cabo San Lucas,MX,1638054337,22.8909,-109.9124,73.71,78,90,8.05
109,Necochea,AR,1638054466,-38.5473,-58.7368,61.05,90,100,12.46
110,Kaniama,CD,1638054466,-7.5667,24.1833,65.03,97,93,1.77
111,Gazojak,TM,1638054467,41.1875,61.4036,36.45,51,83,7.47
112,Penha,BR,1638054467,-26.7694,-48.6458,75.07,83,75,9.22
113,Talaya,RU,1638054468,61.3833,152.75,-33.54,94,39,1.23
114,Tiznit Province,MA,1638054468,29.5833,-9.5,51.6,71,0,15.73
115,Salalah,OM,1638054469,17.0151,54.0924,73.49,46,0,3.44
116,Ilulissat,GL,1638054339,69.2167,-51.1,15.58,84,100,12.41
117,Klaksvík,FO,1638054469,62.2266,-6.589,25.72,74,97,8.34
118,Santa Cruz de la Sierra,BO,1638054470,-17.8,-63.1667,80.65,74,40,13.8
119,Priyutnoye,RU,1638054470,46.1011,43.5072,42.98,89,100,11.43
120,Tuktoyaktuk,CA,1638054399,69.4541,-133.0374,-6.05,95,100,16.82
121,Laas,IT,1638054354,46.6166,10.7002,34.54,96,100,2.17
122,Cerrito,CO,1638054471,6.8432,-72.694,55.71,92,93,3.87
123,Mubende,UG,1638054472,0.5606,31.39,59.16,96,70,1.28
124,Pangnirtung,CA,1638054472,66.1451,-65.7125,26.6,39,75,6.91
125,East Retford,GB,1638054473,53.3221,-0.9432,35.53,69,75,19.57
126,Santa Cruz de La Palma,ES,1638054474,28.6835,-17.7642,64.54,63,0,14.97
127,Hithadhoo,MV,1638054333,-0.6,73.0833,81.52,71,39,17.25
128,Clyde River,CA,1638054475,70.4692,-68.5914,-8.95,99,89,5.57
129,Torbay,CA,1638054199,47.6666,-52.7314,47.95,97,100,19.01
130,Lorengau,PG,1638054475,-2.0226,147.2712,82.69,75,100,3.0
131,Mackenzie,CA,1638054317,55.2999,-123.1698,28.62,93,90,9.22
132,Calama,CL,1638054476,-22.4667,-68.9333,66.69,19,7,17.27
133,Tiksi,RU,1638054477,71.6872,128.8694,-5.89,97,100,6.98
134,Hilo,US,1638054313,19.7297,-155.09,80.33,61,1,13.8
135,Lumsden,CA,1638054477,50.6501,-104.8678,21.74,86,6,2.57
136,Marsh Harbour,BS,1638054329,26.5412,-77.0636,72.82,66,38,8.3
137,Bethanien,NA,1638054478,-26.502,17.1583,58.91,44,0,3.2
138,Wairoa,NZ,1638054281,-39.0333,177.3667,69.73,58,100,7.27
139,Murgab,TM,1638054479,37.4966,61.9714,44.89,37,92,5.32
140,Dunmore Town,BS,1638054479,25.5,-76.65,74.5,69,3,8.08
141,Preobrazheniye,RU,1638054479,42.9019,133.9064,32.45,44,1,6.64
142,Pucallpa,PE,1638054480,-8.3791,-74.5539,87.84,62,40,3.44
143,Maryville,US,1638054481,35.7565,-83.9705,49.71,29,40,9.22
144,Road Town,VG,1638054384,18.4167,-64.6167,82.44,78,20,12.66
145,Bambanglipuro,ID,1638054482,-7.95,110.2833,75.88,90,100,6.82
146,Khatanga,RU,1638054319,71.9667,102.5,-7.85,93,100,13.58
147,Belyy Yar,RU,1638054483,53.6039,91.3903,28.29,64,0,17.9
148,Lagoa,PT,1638054483,39.05,-27.9833,60.71,64,88,10.31
149,Penzance,GB,1638054484,50.1186,-5.5371,40.21,60,100,27.92
150,Ambilobe,MG,1638054484,-13.2,49.05,75.69,89,82,1.19
151,Tuatapere,NZ,1638054412,-46.1333,167.6833,59.67,49,26,4.72
152,Nome,US,1638054485,64.5011,-165.4064,-9.33,64,1,10.36
153,Isangel,VU,1638054485,-19.55,169.2667,82.51,78,75,0.0
154,Olavarría,AR,1638054486,-36.8927,-60.3225,58.51,91,96,20.92
155,Mar del Plata,AR,1638054358,-38.0023,-57.5575,61.75,94,98,19.53
156,New Norfolk,AU,1638054335,-42.7826,147.0587,62.1,50,5,2.01
157,Xicoténcatl,MX,1638054487,23.0167,-98.8833,74.88,62,88,4.72
158,Prainha,BR,1638054487,-1.8,-53.48,80.19,68,82,3.74
159,Liwale,TZ,1638054488,-9.7667,37.9333,69.51,93,81,2.01
160,Yārāda,IN,1638054326,17.65,83.2667,79.12,69,75,12.66
161,Champerico,GT,1638054489,14.3,-91.9167,86.54,72,25,7.47
162,Leshukonskoye,RU,1638054379,64.8989,45.7622,-1.88,100,96,1.79
163,Saskylakh,RU,1638054404,71.9167,114.0833,-2.87,92,93,10.18
164,Camacha,PT,1638054490,33.0833,-16.3333,60.22,72,40,17.27
165,Yulara,AU,1638054405,-25.2406,130.9889,73.24,27,0,16.11
166,Ixtapa,MX,1638054490,20.7,-105.2,81.63,69,90,9.22
167,Iqaluit,CA,1638054491,63.7506,-68.5145,21.16,91,100,9.93
168,Sovetskiy,RU,1638054491,61.3614,63.5842,24.39,95,68,6.24
169,Harwich,GB,1638054492,51.9419,1.2844,37.54,86,93,27.25
170,Wakkanai,JP,1638054493,45.4094,141.6739,40.15,62,42,10.45
171,Severo-Kuril'sk,RU,1638054493,50.6789,156.125,28.72,65,77,28.74
172,Fairbanks,US,1638054341,64.8378,-147.7164,-11.24,70,75,0.0
173,Makakilo City,US,1638054494,21.3469,-158.0858,80.92,58,90,12.66
174,Nizhniy Odes,RU,1638054495,63.6445,54.856,1.0,100,95,0.87
175,Dunedin,NZ,1638054495,-45.8742,170.5036,58.12,65,87,9.51
176,Jonuta,MX,1638054496,18.0833,-92.1333,81.45,80,41,3.78
177,Kaya,BF,1638054496,13.0917,-1.0844,79.56,15,22,8.81
178,Pechora,RU,1638054497,65.1472,57.2244,-9.67,99,33,0.96
179,Bétaré Oya,CM,1638054497,5.6,14.0833,68.85,43,91,3.04
180,Geraldton,AU,1638054498,-28.7667,114.6,68.41,42,1,2.3
181,Bulgan,MN,1638054499,48.8125,103.5347,11.34,97,98,0.47
182,Bethel,US,1638054375,41.3712,-73.414,35.96,47,1,5.75
183,Pandamatenga,BW,1638054499,-18.5278,25.627,70.99,54,4,6.38
184,Dikson,RU,1638054385,73.5069,80.5464,-11.06,97,100,8.97
185,Vila,PT,1638054500,42.0304,-8.1588,32.88,93,84,7.05
186,Le Mars,US,1638054500,42.7942,-96.1656,47.71,57,1,16.11
187,Bahir Dar,ET,1638054501,11.5936,37.3908,61.16,79,83,5.19
188,Marabu,MY,1638054501,4.4148,114.0089,77.54,88,100,3.4
189,Hirara,JP,1638054503,24.8,125.2833,73.26,65,100,31.45
190,Eureka,US,1638054234,40.8021,-124.1637,61.99,81,94,5.17
191,Cidreira,BR,1638054449,-30.1811,-50.2056,69.24,95,58,8.61
192,Kavieng,PG,1638054380,-2.5744,150.7967,83.28,70,85,4.52
193,Kusa,RU,1638054505,55.3383,59.4406,14.88,90,97,3.44
194,Yei,SS,1638054506,4.095,30.6779,68.22,83,91,2.64
195,Acapulco de Juárez,MX,1638054330,16.8634,-99.8901,84.02,70,1,8.05
196,Coquimbo,CL,1638054351,-29.9533,-71.3436,62.33,77,0,11.5
197,Tezu,IN,1638054507,27.9167,96.1667,59.67,52,4,4.16
198,Mahébourg,MU,1638054319,-20.4081,57.7,73.69,88,20,3.44
199,Chui,UY,1638054340,-33.6971,-53.4616,66.4,88,69,8.41
200,Río Gallegos,AR,1638054508,-51.6226,-69.2181,50.41,59,100,30.15
201,Sečovce,SK,1638054508,48.7007,21.661,38.59,97,96,2.51
202,Sistranda,NO,1638054509,63.7256,8.834,22.96,63,8,7.25
203,Laguna,US,1638054509,38.421,-121.4238,69.64,46,1,0.0
204,Ribeira Grande,PT,1638054358,38.5167,-28.7,61.93,65,69,9.42
205,Hasaki,JP,1638054510,35.7333,140.8333,39.6,51,0,13.02
206,Marzuq,YE,1638054511,14.4,46.4667,66.43,40,0,3.38
207,Coahuayana Viejo,MX,1638054512,18.7333,-103.6833,87.28,64,44,5.64
208,Bell Ville,AR,1638054513,-32.6259,-62.6887,74.34,57,96,12.62
209,Cherskiy,RU,1638054366,68.75,161.3,-24.93,91,10,3.4
210,Leningradskiy,RU,1638054513,69.3833,178.4167,-19.46,90,3,9.15
211,Touros,BR,1638054354,-5.1989,-35.4608,83.3,75,39,11.07
212,Nouadhibou,MR,1638054344,20.931,-17.0347,68.09,65,22,23.51
213,Los Llanos de Aridane,ES,1638054514,28.6585,-17.9182,60.55,63,0,14.97
214,Namatanai,PG,1638054515,-3.6667,152.4333,83.34,70,70,4.05
215,Nizhnyaya Omka,RU,1638054515,55.4338,74.9426,20.43,92,100,13.33
216,Ukiah,US,1638054001,39.1502,-123.2078,69.8,63,93,2.62
217,Campbellsville,US,1638054516,37.3434,-85.3419,49.6,69,87,8.48
218,Baiyin,CN,1638054516,36.5583,104.2081,30.97,90,9,6.24
219,Kaitangata,NZ,1638054406,-46.2817,169.8464,59.61,51,36,3.47
220,Taltal,CL,1638054322,-25.4,-70.4833,65.77,71,20,2.93
221,Owando,CG,1638054517,-0.4819,15.8999,71.73,95,79,2.64
222,Khanpur,PK,1638054518,28.6453,70.6567,63.61,26,0,8.79
223,San Vicente,AR,1638054518,-26.6167,-54.1333,68.67,72,0,3.31
224,Ternate,ID,1638054519,0.8,127.4,82.04,80,95,3.42
225,Thompson,CA,1638054258,55.7435,-97.8558,18.5,80,92,11.68
226,Narasapuram,IN,1638054520,16.45,81.6667,76.03,84,100,9.69
227,Laichow,CN,1638054520,37.1717,119.9214,42.91,79,100,7.29
228,Korla,CN,1638054521,41.7597,86.1469,26.4,90,36,3.89
229,Siuna,NI,1638054521,13.7332,-84.7773,73.6,89,84,5.06
230,Kilindoni,TZ,1638054522,-7.9139,39.6668,80.19,82,100,13.53
231,Alofi,NU,1638054523,-19.0595,-169.9187,80.67,75,93,10.92
232,Algiers,DZ,1638054252,36.7525,3.042,51.62,66,20,5.75
233,Port Augusta,AU,1638054364,-32.5,137.7667,66.34,37,100,8.93
234,Kumul,CN,1638054523,42.8,93.45,26.24,70,100,11.56
235,Olafsvik,IS,1638054389,64.8945,-23.7142,39.24,87,100,3.24
236,Whitehorse,CA,1638054320,60.7161,-135.0538,5.61,98,100,3.24
237,Machalí,CL,1638054525,-34.1833,-70.6667,70.88,37,40,11.5
238,Tasiilaq,GL,1638054396,65.6145,-37.6368,28.56,88,100,13.31
239,Kota Tinggi,MY,1638054525,1.7381,103.8999,78.75,93,100,2.06
240,Al Bardīyah,LY,1638054526,31.7561,25.0865,70.3,49,9,15.9
241,Lethem,GY,1638054526,3.3803,-59.7968,82.62,67,35,7.31
242,Ulaangom,MN,1638054527,49.9811,92.0667,10.17,71,91,3.98
243,Zaraza,VE,1638054527,9.3503,-65.3245,78.96,79,80,9.4
244,Mattru,SL,1638054528,7.6244,-11.8332,76.19,92,96,3.4
245,Walvis Bay,NA,1638054528,-22.9575,14.5053,59.67,71,0,11.97
246,Udachny,RU,1638054529,66.4167,112.4,-4.02,90,100,7.18
247,Upernavik,GL,1638054415,72.7868,-56.1549,6.04,97,82,6.87
248,Arraial do Cabo,BR,1638054368,-22.9661,-42.0278,73.6,88,88,5.95
249,Chokurdakh,RU,1638054355,70.6333,147.9167,-34.08,100,88,0.31
250,Hambantota,LK,1638054373,6.1241,81.1185,77.23,89,98,8.16
251,Burnie,AU,1638054530,-41.0667,145.9167,57.31,67,0,5.61
252,Ancud,CL,1638054531,-41.8697,-73.8203,54.93,64,8,10.65
253,Tamale,GH,1638054531,9.4008,-0.8393,83.44,23,53,1.39
254,Belmonte,BR,1638054532,-15.8631,-38.8828,79.3,89,96,4.76
255,Goch,DE,1638054532,51.6667,6.1667,37.62,87,75,4.61
256,Anyang,CN,1638054415,36.0994,114.3289,44.98,67,99,3.56
257,Lavrentiya,RU,1638054533,65.5833,-171.0,-10.55,93,4,7.96
258,Stornoway,GB,1638054533,58.2093,-6.3865,35.56,87,90,4.61
259,Iskateley,RU,1638054534,67.6803,53.1512,0.39,93,76,7.4
260,Kaeo,NZ,1638054535,-35.1,173.7833,69.73,61,87,5.75
261,Illapel,CL,1638054535,-31.6308,-71.1653,65.73,55,0,5.66
262,Show Low,US,1638054536,34.2542,-110.0298,52.48,22,1,10.36
263,Madang,PG,1638054536,-5.2246,145.7966,82.63,74,93,1.99
264,Porto Walter,BR,1638054537,-8.2686,-72.7439,80.49,73,100,1.92
265,Constitución,CL,1638054537,-35.3333,-72.4167,56.41,75,1,18.77
266,La Asuncion,VE,1638054298,11.0333,-63.8628,78.94,87,14,9.98
267,Chardara,KZ,1638054538,41.2547,67.9692,38.46,47,7,4.18
268,Faanui,PF,1638054538,-16.4833,-151.75,81.64,73,13,14.83
269,Kahului,US,1638054338,20.8947,-156.47,85.26,57,40,13.8
270,Lékoni,GA,1638054539,-1.5843,14.2591,70.77,92,86,2.84
271,Truro,GB,1638054541,50.2653,-5.0544,40.28,87,75,17.27
272,Hualmay,PE,1638054541,-11.0964,-77.6139,67.08,83,100,9.64
273,Suntar,RU,1638054542,62.1444,117.6319,1.29,87,93,8.32
274,Hokitika,NZ,1638054333,-42.7167,170.9667,57.72,89,100,6.76
275,Churapcha,RU,1638054543,62.0025,132.4325,-3.95,96,100,6.8
276,Codrington,AU,1638054372,-38.2667,141.9667,60.3,60,0,10.83
277,Mossamedes,AO,1638054543,-15.1961,12.1522,68.25,73,70,6.96
278,Vysokogornyy,RU,1638054544,50.1167,139.15,9.82,98,92,3.53
279,Bayevo,RU,1638054544,53.2833,80.7667,19.0,88,100,19.08
280,The Valley,AI,1638054545,18.217,-63.0578,80.74,78,40,4.61
281,Camalú,MX,1638054545,30.85,-116.0667,70.0,42,0,7.18
282,Atbasar,KZ,1638054546,51.8,68.3333,5.94,90,17,7.0
283,Guilin,CN,1638054306,25.2819,110.2864,51.08,76,47,3.98
284,Umba,RU,1638054547,66.6871,34.3429,8.82,96,84,6.89
285,Port Shepstone,ZA,1638054547,-30.7414,30.455,66.6,85,100,17.2
286,Waddān,LY,1638054548,29.1614,16.139,70.63,35,64,3.0
287,Cabano,PH,1638054548,10.5869,122.7002,80.31,82,92,8.39
288,Santa Maria,BR,1638054472,-29.6842,-53.8069,72.73,76,87,4.76
